,cation_exchange_capacity,crop_name,humidity,nitrogen,phosphorus,potassium,rainfall,soil_moisture,soil_ph,temperature,test
21,42,rice,83.11713476,76.0,40.0,43.0,231.3843163,5.5,5.070175667,25.15745531,test 1
22,33,rice,80.97384195,67.0,59.0,41.0,213.3560921,5.5,6.012632591,21.94766735,test 1
23,32,rice,82.67839517,83.0,41.0,43.0,233.1075816,5.5,6.254028451,21.0525355,test 1
24,35,rice,81.33265073,98.0,47.0,37.0,224.0581164,5.5,7.375482851,23.48381344,test 1
25,31,rice,80.52389148,66.0,53.0,41.0,257.0038865,5.5,7.778915154,25.0756354,test 1
26,30,rice,84.04403589,97.0,59.0,43.0,271.3586137,5.5,6.286500176,26.35927159,test 1
27,25,rice,80.54498576,97.0,50.0,41.0,260.2634026,5.5,7.070959995,24.52922681,test 1
28,27,rice,84.49774397,60.0,49.0,44.0,240.0810647,5.5,6.244841491,20.77576147,test 1
29,28,rice,80.64416466,84.0,51.0,35.0,197.9791215,5.0,6.043304899,22.30157427,test 1
30,31,rice,84.94375962,73.0,57.0,41.0,272.2017204,5.5,5.824709117,21.44653958,test 1
31,32,rice,80.33127223,92.0,35.0,40.0,200.0882787,5.5,6.357389366,22.17931888,test 1
32,33,rice,82.73685569,85.0,37.0,39.0,224.6757231,6.5,6.364134968,24.52783742,test 1
33,36,rice,81.63895217,98.0,53.0,38.0,270.4417274,5.0,5.01450727,20.26707606,test 1
34,39,rice,83.88266234,88.0,54.0,44.0,233.1321372,4.0,6.149410611,25.7354293,test 1
35,7,rice,82.1480873,95.0,55.0,42.0,193.3473987,5.5,5.950660556,26.79533926,test 1
36,6,rice,81.17734011,99.0,57.0,35.0,272.2999056,5.5,5.960370061,26.75754171,test 1
37,44,rice,83.15250801,95.0,39.0,36.0,285.2493645,6.5,5.561398642,23.86330467,test 1
38,42,rice,82.95221726,60.0,43.0,44.0,298.4018471,4.0,7.416245107,21.01944696,test 1
39,43,rice,83.7287574,63.0,44.0,41.0,257.0343554,6.0,5.583370042,24.17298839,test 1
40,44,rice,82.06719137,62.0,42.0,36.0,248.7183228,5.0,6.430010215,22.78133816,test 1
41,42,rice,83.52842314,64.0,45.0,43.0,209.9001977,5.5,5.534878156,25.62980105,test 1
42,33,rice,80.14509262,83.0,60.0,36.0,200.834898,5.5,6.903985986,25.59704938,test 1
43,32,rice,84.81360127,82.0,40.0,40.0,298.5601175,5.5,6.271478838,23.83067496,test 1
44,35,rice,82.36698992,85.0,52.0,45.0,265.5355937,5.5,7.224285503,26.31355498,test 1
45,31,rice,80.52586088,91.0,35.0,38.0,183.6793207,5.5,6.13428721,24.8972823,test 1
46,30,rice,84.47963372,76.0,49.0,42.0,196.9560008,5.5,5.206373153,24.958779,test 1
47,25,rice,84.59201843,74.0,39.0,38.0,233.0453455,5.5,7.782051313,23.24113501,test 1
48,27,rice,80.70960551,79.0,43.0,39.0,210.8142087,5.5,7.062779015,21.66628296,test 1
49,28,rice,80.41363018,88.0,55.0,45.0,253.7202781,5.5,7.730367824,24.63544858,test 1
50,31,rice,83.06310136,60.0,36.0,43.0,219.9048349,5.5,5.286203711,23.43121862,test 1
51,32,rice,80.3477562,76.0,60.0,39.0,208.5810155,5.0,6.766240045,20.0454142,test 1
52,33,rice,82.22572988,93.0,56.0,42.0,195.0948311,5.5,7.382762603,23.85724032,test 1
53,36,rice,81.89918197,65.0,60.0,43.0,227.3637009,5.5,5.658169482,21.97199397,test 1
54,39,rice,83.83625819,95.0,52.0,36.0,286.5083725,6.5,5.543360238,26.22916897,test 1
55,7,rice,84.79352417,75.0,38.0,39.0,283.9338466,5.0,6.215109715,23.44676801,test 1
56,6,rice,83.47021081,74.0,54.0,38.0,217.3788583,4.0,7.120272972,25.65553461,test 1
57,44,rice,82.45432595,91.0,36.0,45.0,267.9761948,5.5,5.950647577,24.44345477,test 1
58,42,rice,82.1235421,71.0,46.0,40.0,191.9535738,5.5,7.236705436,20.2801937,test 1
59,43,rice,80.2389895,99.0,55.0,35.0,277.9626192,6.5,6.501697816,21.7238313,test 1
60,44,rice,82.20802629,72.0,40.0,38.0,245.1511304,4.0,7.592490617,20.41447029,test 1
61,42,rice,83.51827127,83.0,58.0,45.0,245.6626799,6.0,5.875345751,25.75528612,test 1
62,33,rice,83.77345559,93.0,58.0,38.0,279.5451717,5.0,6.932400225,20.61521424,test 1
63,32,rice,80.72886384,70.0,36.0,42.0,202.3838319,5.5,6.946209881,21.84106875,test 1
64,35,rice,83.29114712,76.0,47.0,42.0,263.6372176,5.5,5.739175027,20.08369642,test 1
65,31,rice,82.74835604,99.0,41.0,36.0,182.5616319,5.5,6.738652179,24.45802087,test 1
66,30,rice,80.33502926,99.0,54.0,37.0,198.6730942,5.5,5.594819626,21.14347496,test 1
67,25,rice,82.11124033,86.0,59.0,35.0,243.5120414,5.5,6.946636369,25.78720567,test 1
68,27,rice,80.28597873,69.0,46.0,41.0,263.1103304,5.5,5.012139669,23.64124821,test 1
69,28,rice,80.56887849,91.0,56.0,37.0,269.5039162,5.5,6.363472208,23.43191632,test 1
70,31,rice,83.891805,61.0,52.0,41.0,204.8001847,5.5,6.880431223,24.97669518,test 1
71,32,rice,82.1706881,67.0,45.0,38.0,260.8875056,5.5,7.300410836,22.72791041,test 1
72,33,rice,82.84022551,79.0,42.0,37.0,295.6094492,5.5,6.587918708,24.87300744,test 1
73,36,rice,83.00320459,78.0,43.0,42.0,192.3197536,5.0,7.283736617,21.32376327,test 1
74,39,rice,84.56919326,75.0,54.0,36.0,257.4914906,5.5,7.023936392,26.29465461,test 1
75,7,rice,81.85872947,97.0,36.0,45.0,278.0791793,5.5,6.939083505,22.2286982,test 1
76,6,rice,81.78596776,67.0,47.0,44.0,280.4044392,6.5,7.868474653,26.73072391,test 1
77,44,rice,81.97927117,73.0,35.0,38.0,185.9461429,5.0,5.005306977,24.88921174,test 1
78,42,rice,81.46033732,77.0,36.0,37.0,194.5766559,4.0,6.136131869,26.88444878,test 1
79,43,rice,83.72874389,81.0,41.0,38.0,200.9133156,5.5,7.524080076,22.67846116,test 1
80,44,rice,80.37979919,68.0,57.0,43.0,182.9043504,5.5,5.706943251,26.08867875,test 1
81,42,rice,82.94682591,72.0,45.0,35.0,195.3574542,6.5,5.758506323,25.42977518,test 1
82,33,rice,81.05635517,61.0,53.0,43.0,223.3671883,4.0,6.349606327,26.40323239,test 1
83,32,rice,84.96907151,67.0,43.0,39.0,186.7536773,6.0,5.999969026,26.04371967,test 1
84,35,rice,80.54372813,67.0,58.0,39.0,220.1156708,5.0,5.453592032,25.2827223,test 1
85,31,rice,83.47038318,66.0,60.0,38.0,231.7364957,5.5,6.372576327,22.08576562,test 1
86,30,rice,81.43321641,82.0,43.0,38.0,242.3170629,5.5,5.105588355,23.28617173,test 1
87,25,rice,81.40633547,84.0,50.0,44.0,182.6549356,5.5,5.935344406,25.48591986,test 1
88,27,rice,81.03569343,81.0,53.0,42.0,233.7034975,5.5,5.17782304,23.67575393,test 1
89,28,rice,84.1341879,91.0,50.0,40.0,230.2242223,5.5,6.462391607,20.82477109,test 1
90,31,rice,81.91411159,93.0,53.0,38.0,290.6793783,5.5,7.069172227,26.92995077,test 1
91,32,rice,83.88387074,90.0,44.0,38.0,241.2013513,5.5,7.473134377,23.83509503,test 1
92,33,rice,80.12267476,81.0,45.0,35.0,218.9163567,5.5,6.158376967,26.52872817,test 1
93,36,rice,83.85642678,78.0,40.0,38.0,248.2256491,5.5,7.549873681,26.46428311,test 1
94,39,rice,82.81088865,60.0,51.0,36.0,256.9964761,5.5,6.028321558,22.69657794,test 1
95,7,rice,83.46358271,88.0,46.0,42.0,194.2651719,5.0,6.604993475,22.68319059,test 1
96,6,rice,82.14004101,93.0,47.0,37.0,295.9248796,5.5,6.500343222,21.53346343,test 1
97,44,rice,83.3293191,60.0,55.0,45.0,287.5766935,5.5,5.935745417,21.40865769,test 1
98,42,rice,84.67353597,78.0,35.0,44.0,183.6222657,6.5,7.072655622,26.54348085,test 1
99,43,rice,83.59512273,65.0,37.0,40.0,188.413665,5.0,5.333322606,23.35905428,test 1
100,44,maize,63.69070564,71.0,54.0,16.0,87.75953857,4.0,5.749914421,22.61359953,test 1
101,42,maize,71.57476937,61.0,44.0,17.0,102.2662445,5.5,6.931756558,26.10018422,test 1
102,33,maize,71.59351368,80.0,43.0,16.0,66.71995467,5.5,6.657964753,23.55882094,test 1
103,32,maize,57.68272924,73.0,58.0,21.0,60.65171481,6.5,6.596060648,19.97215954,test 1
104,35,maize,62.69503871,61.0,38.0,20.0,65.43835393,4.0,5.970458434,18.47891261,test 1
105,31,maize,57.80840636,68.0,41.0,16.0,102.0861694,6.0,6.158830619,21.77689322,test 1
106,30,maize,66.50415474,93.0,41.0,17.0,105.4654703,5.0,6.047906679,25.6217169,test 1
107,25,maize,66.6902901,89.0,60.0,19.0,78.06639649,5.5,5.913664501,25.19192419,test 1
108,27,maize,62.5542482,76.0,44.0,17.0,65.27798457,5.5,5.855442401,20.41683147,test 1
109,28,maize,66.78627406,67.0,60.0,25.0,109.2162279,5.5,5.750254943,24.92162194,test 1
110,31,maize,73.4541537,70.0,44.0,19.0,94.29712821,5.5,5.852607099,23.31689124,test 1
111,32,maize,68.3584573,90.0,49.0,21.0,74.05474936,5.5,6.472523287,24.84016732,test 1
112,33,maize,58.84015925,62.0,52.0,16.0,63.87020584,5.5,6.967057762,22.27526694,test 1
113,36,maize,65.76816093,92.0,44.0,16.0,94.76189431,5.5,6.082973754,18.87751445,test 1
114,39,maize,60.2001687,66.0,54.0,21.0,72.12375573,5.5,5.919045532,25.19008683,test 1
115,7,maize,55.28220433,63.0,58.0,22.0,63.72358154,5.5,6.204747653,18.25405352,test 1
116,6,maize,70.4162444,70.0,47.0,17.0,104.1626147,5.5,6.600827017,24.6129118,test 1
117,44,maize,65.26185135,61.0,41.0,17.0,76.68456006,5.0,6.021902237,25.1420613,test 1
118,42,maize,60.1159381,66.0,53.0,19.0,65.49730729,5.5,6.033550195,23.09348056,test 1
119,43,maize,62.89366992,74.0,55.0,19.0,84.23613484,5.5,6.28886807,18.05033737,test 1
120,44,maize,73.80435276,77.0,57.0,21.0,79.74078719,6.5,6.550563823,24.9321581,test 1
121,42,maize,71.09445342,99.0,50.0,15.0,88.07753741,5.0,5.573286437,18.14710054,test 1
122,33,maize,66.65952796,74.0,56.0,22.0,80.97573281,4.0,6.829199275,18.28362235,test 1
123,32,maize,58.75082029,83.0,45.0,21.0,79.7532896,5.5,5.716222912,18.83344471,test 1
124,35,maize,67.22190688,100.0,48.0,16.0,74.51490791,5.5,5.54990242,25.71895816,test 1
125,31,maize,68.49835977,79.0,51.0,16.0,96.46380213,6.5,6.586244581,25.33797709,test 1
126,30,maize,57.48775781,94.0,39.0,18.0,102.8301942,4.0,5.893093135,23.89114571,test 1
127,25,maize,71.50905983,75.0,49.0,15.0,102.4852929,6.0,5.918263801,21.53574127,test 1
128,27,maize,63.10459626,78.0,48.0,22.0,70.43473609,5.0,5.588650585,23.08974909,test 1
129,28,maize,63.4711755,87.0,54.0,20.0,108.8303762,5.5,6.576418207,25.61707368,test 1
130,31,maize,63.1621551,87.0,35.0,25.0,65.88951188,5.5,6.178056304,21.44526922,test 1
131,32,maize,55.53128131,63.0,43.0,19.0,90.988051,5.5,6.641906353,18.51816776,test 1
132,33,maize,67.99257471,84.0,57.0,25.0,64.40866039,5.5,6.489040367,22.53510514,test 1
133,36,maize,61.89472002,64.0,35.0,23.0,63.03843397,5.5,5.680361038,23.02038334,test 1
134,39,maize,65.61418761,60.0,46.0,22.0,87.9298085,5.5,6.625404348,24.89364635,test 1
135,7,maize,74.089114,98.0,44.0,21.0,107.4931917,5.5,6.524478032,25.77175115,test 1
136,6,maize,62.35750641,75.0,56.0,18.0,60.95197486,5.5,5.696205468,19.39851734,test 1
137,44,maize,59.64024162,86.0,55.0,21.0,109.7515385,5.5,6.803931519,21.54156232,test 1
138,42,maize,74.82913698,98.0,35.0,18.0,91.76337172,5.5,6.252797548,23.79746068,test 1
139,43,maize,74.52600826,76.0,57.0,18.0,94.26249353,5.0,6.092725883,18.9802729,test 1
140,44,maize,73.13112261,99.0,56.0,17.0,71.07562236,5.5,6.234330356,24.10859207,test 1
141,42,maize,70.04556743,60.0,44.0,23.0,76.72860067,5.5,5.722579819,24.7947077,test 1
142,33,maize,60.27766379,74.0,48.0,17.0,69.21803098,6.5,6.430616465,21.63162756,test 1
143,32,maize,57.21025565,89.0,60.0,17.0,101.7004306,5.0,5.983952675,25.37548751,test 1
144,35,maize,72.85462807,69.0,51.0,23.0,106.6213157,4.0,6.80163854,22.21738222,test 1
145,31,maize,69.00128641,96.0,46.0,22.0,66.29390357,5.5,6.499936446,20.58314011,test 1
146,30,maize,68.74248334,61.0,60.0,15.0,91.26056654,5.5,6.265564338,24.87502824,test 1
147,25,maize,56.35606753,74.0,58.0,18.0,109.024141,6.5,6.727303282,20.03728219,test 1
148,27,maize,61.89082199,74.0,43.0,23.0,99.57981207,4.0,6.325235159,25.95263264,test 1
149,28,maize,65.47050802,63.0,43.0,17.0,71.3195307,6.0,6.807487794,19.28889933,test 1
150,31,maize,65.34583901,99.0,36.0,20.0,78.34604471,5.0,6.671085817,20.57981887,test 1
151,32,maize,56.73426469,77.0,36.0,23.0,88.45361858,5.5,6.648725327,24.71417533,test 1
152,33,maize,63.91281869,87.0,60.0,23.0,62.50351892,5.5,6.439071996,20.27317074,test 1
153,36,maize,64.23580251,60.0,38.0,17.0,76.41312437,5.5,6.474476516,18.41932981,test 1
154,39,maize,61.74427165,94.0,54.0,17.0,107.3198135,5.5,5.871647806,23.39128187,test 1
155,7,maize,61.24500053,95.0,38.0,22.0,100.7689246,5.5,5.730617109,19.84939404,test 1
156,6,maize,61.91044947,84.0,44.0,21.0,107.2681929,5.5,5.850439831,21.869274,test 1
157,44,maize,56.50768935,77.0,58.0,19.0,101.5952794,5.5,5.791649933,22.8056033,test 1
158,42,maize,69.02298571,66.0,44.0,20.0,80.72515943,5.5,6.740000688,19.0781471,test 1
159,43,maize,65.35549924,63.0,35.0,16.0,83.73280082,5.5,6.272417541,22.02720976,test 1
160,44,maize,59.24537979,79.0,45.0,20.0,89.9622014,5.5,5.715208817,23.80546189,test 1
161,42,maize,69.0276233,72.0,60.0,25.0,88.10234397,5.0,5.773454729,18.52510753,test 1
162,33,maize,61.32026065,67.0,51.0,24.0,64.77791424,5.5,5.584171461,23.50297882,test 1
163,32,maize,72.89187265,86.0,36.0,24.0,73.33636055,5.5,5.787268394,26.54986394,test 1
164,35,maize,69.63481219,76.0,48.0,18.0,83.21030571,6.5,5.77597783,19.29563411,test 1
165,31,maize,59.4375337,75.0,53.0,18.0,103.651438,5.0,6.864793607,20.68899915,test 1
166,30,maize,68.034493,81.0,45.0,23.0,84.22969177,4.0,6.192360003,19.32666088,test 1
167,25,maize,73.58868502,73.0,45.0,21.0,96.59195302,5.5,6.636803223,24.60532218,test 1
168,27,maize,59.52193158,71.0,35.0,24.0,67.96704792,5.5,5.826426917,22.27373646,test 1
169,28,maize,61.33450447,96.0,54.0,22.0,83.20711308,6.5,6.960358276,25.70196694,test 1
170,31,maize,68.30578978,99.0,39.0,18.0,87.85092352,4.0,6.11275104,19.20129357,test 1
171,32,maize,60.47470519,62.0,48.0,20.0,95.71388473,6.0,6.708446922,21.70181447,test 1
172,33,maize,59.21235483,86.0,37.0,16.0,67.61013737,5.0,5.561510732,20.51716779,test 1
173,36,maize,73.62548442,94.0,50.0,19.0,97.59081274,5.5,5.873242491,23.30355338,test 1
174,39,maize,55.64709899,76.0,39.0,24.0,64.23845455,5.5,6.995843776,24.2547451,test 1
175,7,maize,65.7420046,77.0,52.0,17.0,75.82270467,5.5,5.714799723,24.86374934,test 1
176,6,maize,65.77472881,74.0,39.0,23.0,88.17251033,5.5,6.78073637,22.6265115,test 1
177,44,maize,60.61494304,81.0,49.0,20.0,104.2321615,5.5,5.513697923,18.04185513,test 1
178,42,maize,72.33125523,63.0,42.0,21.0,67.10225139,5.5,5.798423908,23.26237612,test 1
179,43,maize,71.59722446,99.0,38.0,21.0,67.72777298,5.5,6.352471866,22.88330922,test 1
180,44,maize,69.36385721,90.0,52.0,25.0,103.2234212,5.5,6.822586546,25.97482359,test 1
181,42,maize,66.20569924,68.0,40.0,19.0,107.2361366,5.5,6.655426355,26.14384005,test 1
182,33,maize,61.55327249,60.0,57.0,24.0,75.03247667,5.5,6.121294041,18.66116213,test 1
183,32,maize,55.97732754,71.0,52.0,18.0,78.16077693,5.0,5.790770203,25.10787449,test 1
184,35,maize,59.24580604,61.0,59.0,17.0,105.0083144,5.5,6.47444292,23.33844615,test 1
185,31,maize,65.92195844,88.0,38.0,15.0,62.49190812,5.5,6.455116637,25.08239719,test 1
186,30,maize,72.52054555,65.0,60.0,22.0,107.9124111,6.5,6.606984086,25.36768364,test 1
187,25,maize,63.31801994,78.0,37.0,22.0,74.52082026,5.0,6.330554389,25.34217103,test 1
188,27,maize,67.816568,78.0,58.0,15.0,62.91359494,4.0,6.528631266,25.00933355,test 1
189,28,maize,71.516474,92.0,60.0,23.0,69.93293255,5.5,5.721667141,18.66746724,test 1
190,31,maize,63.73849998,79.0,59.0,17.0,108.5054416,5.5,6.644205485,20.37999665,test 1
191,32,maize,72.61024172,91.0,55.0,15.0,78.96159541,6.5,6.376651091,18.09300227,test 1
192,33,maize,71.96246617,76.0,51.0,18.0,79.84925393,4.0,6.247040422,26.16985907,test 1
193,36,maize,61.37879671,87.0,48.0,25.0,93.62039175,6.0,6.656730008,18.65396672,test 1
194,39,maize,59.37147589,71.0,60.0,22.0,85.75692395,5.0,6.2048017,26.07470121,test 1
195,7,maize,72.80086137,90.0,57.0,24.0,82.34162918,5.5,6.158860284,18.92851916,test 1
196,6,maize,63.24648023,67.0,35.0,22.0,108.7603001,5.5,6.385684214,23.30546753,test 1
197,44,maize,62.49878458,60.0,54.0,19.0,70.23401597,5.5,6.417820493,18.74826712,test 1
198,42,maize,59.66263104,83.0,58.0,23.0,65.50861389,5.5,6.381201909,19.74213321,test 1
199,43,maize,70.74739256,83.0,57.0,19.0,98.73771338,5.5,6.877869005,25.73044432,test 1
200,44,chickpea,16.98861173,40.0,72.0,77.0,88.55123143,5.5,7.485996067,17.02498456,test 1
201,42,chickpea,17.13159126,23.0,72.0,84.0,79.92698081,5.5,6.920251378,19.02061277,test 1
202,33,chickpea,15.40589717,39.0,58.0,85.0,68.54932919,5.5,5.996932037,17.88776475,test 1
203,32,chickpea,15.65809214,22.0,72.0,85.0,88.51048983,5.5,6.391173589,18.86805647,test 1
204,35,chickpea,19.56381041,36.0,67.0,77.0,79.26357665,5.5,7.152811172,18.36952567,test 1
205,31,chickpea,15.40312102,32.0,73.0,81.0,92.68373702,5.0,5.988992796,20.45078582,test 1
206,30,chickpea,16.60820843,58.0,70.0,84.0,74.6631118,5.5,6.231049028,20.6543203,test 1
207,25,chickpea,18.74926979,59.0,70.0,84.0,82.61734721,5.5,7.550808267,17.3348681,test 1
208,27,chickpea,18.90426935,42.0,62.0,75.0,81.84997529,6.5,7.010570541,18.17912258,test 1
209,28,chickpea,18.30968112,28.0,74.0,81.0,81.98568791,5.0,8.753795334,18.01272266,test 1
210,31,chickpea,19.33470387,58.0,66.0,79.0,93.55280105,4.0,8.718192847,20.99373558,test 1
211,32,chickpea,15.22538951,43.0,66.0,79.0,74.58565097,5.5,7.976607593,19.46233971,test 1
212,33,chickpea,14.69765308,58.0,63.0,81.0,78.96514709,5.5,6.515499549,19.81344531,test 1
213,36,chickpea,19.5161216,23.0,62.0,85.0,80.7108745,6.5,8.490127142,18.97424756,test 1
214,39,chickpea,14.71070537,27.0,62.0,77.0,70.18185181,4.0,6.576415562,18.19737048,test 1
215,7,chickpea,19.18197264,28.0,72.0,84.0,71.58010169,6.0,6.481783043,18.72963144,test 1
216,6,chickpea,19.8601304,50.0,56.0,76.0,73.50734019,5.0,7.966605025,20.99502153,test 1
217,44,chickpea,16.39535215,39.0,71.0,84.0,82.52339655,5.5,8.140825437,20.28155898,test 1
218,42,chickpea,15.7559405,25.0,78.0,76.0,66.96980581,5.5,7.228963452,17.48042641,test 1
219,43,chickpea,14.32313811,31.0,70.0,77.0,90.46228334,5.5,6.492546046,20.88818675,test 1
220,44,chickpea,16.14565756,26.0,80.0,83.0,71.31007253,5.5,7.528599957,17.08498521,test 1
221,42,chickpea,15.11279612,25.0,68.0,77.0,85.74904898,5.5,7.701446446,20.09340593,test 1
222,33,chickpea,14.99927489,31.0,78.0,76.0,89.31050665,5.5,8.519975748,17.57212145,test 1
223,32,chickpea,18.43475844,60.0,68.0,83.0,85.52950164,5.5,6.620900869,19.12065218,test 1
224,35,chickpea,19.22008229,59.0,62.0,83.0,72.94940441,5.5,8.104396058,18.57665902,test 1
225,31,chickpea,14.42457525,22.0,67.0,78.0,72.32667516,5.5,6.204090835,17.16606398,test 1
226,30,chickpea,16.67921616,36.0,65.0,80.0,74.87445574,5.5,6.051091339,18.2872007,test 1
227,25,chickpea,18.66725565,59.0,60.0,84.0,94.70992037,5.0,7.690962338,19.03025305,test 1
228,27,chickpea,17.0662427,54.0,77.0,85.0,83.74606679,5.5,7.829211144,17.1418614,test 1
229,28,chickpea,17.93253975,43.0,68.0,81.0,78.92060234,5.5,6.761599706,17.47809436,test 1
230,31,chickpea,14.25803981,28.0,76.0,82.0,83.75937135,6.5,6.654425315,20.56601874,test 1
231,32,chickpea,15.82069268,42.0,79.0,85.0,76.57580954,5.0,6.129533877,17.22385224,test 1
232,33,chickpea,19.44225438,32.0,60.0,83.0,91.76071648,4.0,8.829273328,19.69141713,test 1
233,36,chickpea,19.09172907,22.0,78.0,76.0,76.32470713,5.5,8.621662982,17.84851658,test 1
234,39,chickpea,16.1074793,31.0,79.0,75.0,89.73119396,5.5,8.204862075,18.8202251,test 1
235,7,chickpea,16.54314829,28.0,58.0,81.0,93.35034262,6.5,6.18042747,17.47500984,test 1
236,6,chickpea,17.58406365,57.0,58.0,77.0,81.20176515,4.0,7.978996755,18.72649425,test 1
237,44,chickpea,16.17772668,49.0,55.0,78.0,81.70769297,6.0,7.863113671,18.65580107,test 1
238,42,chickpea,19.68538502,46.0,76.0,77.0,83.74879344,5.0,6.967843048,18.2356751,test 1
239,43,chickpea,15.21618225,54.0,61.0,77.0,77.5429424,5.5,6.206582193,18.81198127,test 1
240,44,chickpea,17.80852431,38.0,60.0,76.0,77.92798682,5.5,8.868741443,18.65054116,test 1
241,42,chickpea,16.89574311,59.0,55.0,79.0,82.2545577,5.5,8.766128654,20.36720401,test 1
242,33,chickpea,16.63805158,36.0,76.0,75.0,70.52056697,5.5,8.736337905,18.38120357,test 1
243,32,chickpea,17.30457712,57.0,68.0,81.0,72.78624223,5.5,8.081095263,17.17012591,test 1
244,35,chickpea,15.77458129,35.0,66.0,81.0,85.24819851,5.5,6.138243973,19.37101121,test 1
245,31,chickpea,14.27327988,35.0,64.0,78.0,85.37378769,5.5,7.496645259,17.92845928,test 1
246,30,chickpea,18.23490739,52.0,60.0,79.0,75.6317566,5.5,8.380185271,19.45339934,test 1
247,25,chickpea,14.92241479,27.0,76.0,83.0,89.61857826,5.5,6.289614016,19.12829388,test 1
248,27,chickpea,17.26184541,57.0,60.0,84.0,75.49101167,5.5,6.586777189,19.1034283,test 1
249,28,chickpea,16.96070581,52.0,68.0,78.0,86.05078037,5.0,6.89655198,17.48504075,test 1
250,31,chickpea,18.98030507,43.0,79.0,79.0,80.25064637,5.5,7.806747656,19.40751744,test 1
251,32,chickpea,19.63719995,44.0,74.0,85.0,78.26039559,5.5,7.150681303,20.18649426,test 1
252,33,chickpea,15.15405941,24.0,55.0,78.0,75.57790384,6.5,6.64919573,17.30287885,test 1
253,36,chickpea,15.48083156,29.0,77.0,75.0,72.9446671,5.0,7.778591618,17.50361137,test 1
254,39,chickpea,14.70085967,20.0,60.0,78.0,90.7760707,4.0,6.358740355,18.17234999,test 1
255,7,chickpea,16.71826572,56.0,67.0,78.0,77.81891424,5.5,8.255450758,17.57445618,test 1
256,6,chickpea,18.91295403,37.0,66.0,85.0,78.06910795,5.5,6.456148474,20.93175255,test 1
257,44,chickpea,17.63879418,49.0,71.0,76.0,85.57925437,6.5,6.613072145,19.71098332,test 1
258,42,chickpea,17.86754927,59.0,69.0,80.0,69.40619137,4.0,8.165359297,19.07937684,test 1
259,43,chickpea,16.02542689,20.0,79.0,77.0,76.32565249,6.0,7.64867466,18.54988627,test 1
260,44,chickpea,17.41333199,24.0,56.0,85.0,80.6405403,5.0,6.545888558,18.19903647,test 1
261,42,chickpea,14.99451145,51.0,72.0,75.0,80.1113384,5.5,7.104224797,18.88852533,test 1
262,33,chickpea,14.72115044,57.0,73.0,85.0,91.94595352,5.5,7.358099622,18.49311205,test 1
263,32,chickpea,17.17260319,22.0,64.0,82.0,87.51312796,5.5,6.4740245,19.48974337,test 1
264,35,chickpea,18.74943955,52.0,73.0,79.0,94.00287214,5.5,7.840339389,17.25769499,test 1
265,31,chickpea,18.71483156,29.0,75.0,75.0,88.4585692,5.5,7.064790365,19.62416326,test 1
266,30,chickpea,19.85388984,44.0,59.0,78.0,84.78344008,5.5,7.599033472,20.67526473,test 1
267,25,chickpea,16.63294455,41.0,69.0,82.0,68.97806542,5.5,6.715587232,20.02381489,test 1
268,27,chickpea,14.44228303,52.0,56.0,85.0,88.68168643,5.5,6.81712422,20.1187446,test 1
